Timestamp,Name,M01. Germany v Scotland,M03. Spain v Croatia,M05. Serbia v England,M08. Austria v France,M12. Portugal v Czech Republic,Which game would you like to give double points to?
07/06/2024 19:59:48,Larry,2-0,2-0,0-2,0-2,2-1,M01. Germany v Scotland
07/06/2024 20:04:57,Tom,2-0,0-0,0-2,1-2,3-1,M05. Serbia v England
08/06/2024 23:31:40,Ed,3-1,1-1,1-2,1-4,2-0,M05. Serbia v England
09/06/2024 10:35:29,Jonny,3-0,2-1,0-2,0-3,2-1,M01. Germany v Scotland
11/06/2024 11:43:49,Jay,2-0,1-1,0-1,1-3,2-0,M12. Portugal v Czech Republic
13/06/2024 13:32:21,Marc,3-1,2-0,1-4,0-3,1-1,M01. Germany v Scotland
14/06/2024 13:38:34,Corfe,2-0,2-1,0-2,1-3,3-0,M01. Germany v Scotland
14/06/2024 19:11:16,Luke,2-0,1-0,0-1,0-2,1-0,M01. Germany v Scotland
27/05/2024 20:29:29,Rando Randal,1-0,1-1,2-4,3-2,5-3,M05. Serbia v England
27/05/2024 20:29:29,Peter Popular,2-0,2-1,0-3,0-3,2-0,M01. Germany v Scotland
