Timestamp,Name,M26. Scotland v Hungary,M28. Croatia v Italy,M30. Denmark v Serbia,M31. Netherlands v Austria,M36. Czech Republic v Turkey,Which game would you like to give double points to?
21/06/2024 22:20:57,Tom,1-1,1-1,1-0,1-2,0-1,M30. Denmark v Serbia
22/06/2024 05:54:55,Marc,1-0,2-2,3-0,2-0,1-1,M31. Netherlands v Austria
22/06/2024 22:06:56,Jonny,1-1,1-1,2-1,2-0,1-0,M31. Netherlands v Austria
22/06/2024 22:26:43,Ed,2-2,1-2,3-1,2-0,1-2,M31. Netherlands v Austria
23/06/2024 11:38:56,Jay,1-1,1-2,2-1,2-2,1-2,M36. Czech Republic v Turkey
23/06/2024 12:57:08,Larry,1-1,2-1,1-1,2-1,2-1,M31. Netherlands v Austria
23/06/2024 15:58:50,Corfe,0-1,0-2,2-0,2-1,1-1,M28. Croatia v Italy
23/06/2024 19:00:30,Luke,1-2,0-1,2-1,1-0,2-1,M31. Netherlands v Austria
21/06/2024 22:20:57,Peter Popular,1-1,1-2,2-1,2-0,1-2,M31. Netherlands v Austria
21/06/2024 22:20:57,Rando Randal,4-5,0-4,4-5,3-0,5-3,M28. Croatia v Italy
