Timestamp,Name,M37. Germany v Denmark,M38. Switzerland v Italy,M39. Spain v Georgia,M40. England v Slovakia,M41. Portugal v Slovenia,M42. France v Belgium,M43. Romania v Netherlands,M44. Austria v Turkey,Which game would you like to give double points to?
27/06/2024 08:47:23,Marc,2-1,1-1,3-0,1-0,2-1,2-1,1-1,3-0,M40. England v Slovakia
28/06/2024 09:15:29,Tom,2-0,1-1,2-0,1-0,2-1,1-1,2-1,3-2,M40. England v Slovakia
28/06/2024 09:27:41,Jonny,2-0,1-1,3-0,2-0,2-0,1-1,0-2,2-2,M39. Spain v Georgia
28/06/2024 11:25:22,Larry,2-1,2-1,3-0,2-0,2-0,3-0,2-0,3-1,M37. Germany v Denmark
28/06/2024 16:12:11,Ed,2-0,0-1,3-1,1-0,2-1,1-1,2-2,2-0,M39. Spain v Georgia
29/06/2024 07:46:10,Luke,1-0,0-1,2-0,1-0,2-0,1-0,0-1,1-0,M39. Spain v Georgia
29/06/2024 15:54:09,Corfe,2-0,0-1,2-0,2-0,2-0,1-0,1-2,1-1,M37. Germany v Denmark
29/06/2024 16:12:34,Jay,2-1,2-1,3-1,1-0,3-0,2-1,1-1,2-0,M39. Spain v Georgia
29/06/2024 16:12:34,Peter Popular,2-0,1-2,3-0,1-0,2-0,2-1,1-2,2-1,M41. Portugal v Slovenia
29/06/2024 16:12:34,Rando Randal,3-4,0-4,5-2,3-2,3-5,2-1,3-3,4-2,M40. England v Slovakia
