name,position,rank_change,rank_change_symbol,cumulative_total_points,points_change,difference
Jonny,1,0.0,🥱,18,3,"[0.3999999999999999, 0.7999999999999998, 0.1, 0.2000000000000001, 1.7999999999999998, 1.7999999999999998, 2.2, 2.1, 1.9000000000000004, 6.199999999999999, 5.699999999999999, 8.0, 7.9, 7.800000000000001, 6.199999999999999]"
Jay,2,1.0,👍,17,6,"[-0.6000000000000001, -1.2000000000000002, 0.1, 0.2000000000000001, 0.7999999999999998, 0.7999999999999998, 1.2000000000000002, 2.1, 2.9000000000000004, 2.1999999999999997, 1.6999999999999993, 1.0, 0.9000000000000004, 0.8000000000000007, 5.199999999999999]"
Peter Popular,3,1.0,👍,16,6,"[0.3999999999999999, 0.7999999999999998, 0.1, 0.2000000000000001, -0.2000000000000001, -0.2000000000000001, 0.2000000000000001, 0.0999999999999996, -0.0999999999999996, 1.1999999999999993, 0.6999999999999993, 0.0, -0.0999999999999996, -0.1999999999999993, 4.199999999999999]"
Luke,4,-2.0,💀,13,1,"[0.3999999999999999, 0.7999999999999998, 2.1, 2.2, 1.7999999999999998, 1.7999999999999998, 1.2000000000000002, 1.0999999999999996, 1.9000000000000004, 3.1999999999999997, 3.6999999999999993, 3.0, 2.9000000000000004, 2.8000000000000007, 1.1999999999999993]"
Tom,5,1.0,👍,12,5,"[-0.6000000000000001, -1.2000000000000002, -0.8999999999999999, -0.7999999999999998, -1.2000000000000002, -1.2000000000000002, -0.7999999999999998, -0.9000000000000004, -1.0999999999999996, -1.8000000000000007, -2.3000000000000007, 0.0, -0.0999999999999996, 0.8000000000000007, 0.1999999999999993]"
Larry,6,-2.0,💀,11,1,"[0.3999999999999999, 0.7999999999999998, 0.1, 0.2000000000000001, 1.7999999999999998, 1.7999999999999998, 2.2, 2.1, 1.9000000000000004, 1.1999999999999993, 0.6999999999999993, 0.0, 0.9000000000000004, 0.8000000000000007, -0.8000000000000007]"
Corfe,7,-1.0,😵,10,3,"[0.3999999999999999, 0.7999999999999998, 0.1, 0.2000000000000001, -0.2000000000000001, -0.2000000000000001, -0.7999999999999998, -0.9000000000000004, -1.0999999999999996, -1.8000000000000007, 0.6999999999999993, 0.0, -0.0999999999999996, -0.1999999999999993, -1.8000000000000007]"
Ed,8,0.0,🥱,9,3,"[-0.6000000000000001, -1.2000000000000002, -0.8999999999999999, -0.7999999999999998, -1.2000000000000002, -1.2000000000000002, -1.7999999999999998, -1.9000000000000004, -2.1, -2.8000000000000007, -3.3000000000000007, -4.0, -4.1, -4.199999999999999, -2.8000000000000007]"
Marc,9,-1.0,😵,7,1,"[0.3999999999999999, 0.7999999999999998, 0.1, 0.2000000000000001, -1.2000000000000002, -1.2000000000000002, -0.7999999999999998, -0.9000000000000004, -1.0999999999999996, -2.8000000000000007, -3.3000000000000007, -3.0, -3.1, -3.1999999999999997, -4.800000000000001]"
Rando Randal,10,0.0,🥱,5,1,"[-0.6000000000000001, -1.2000000000000002, -0.8999999999999999, -1.7999999999999998, -2.2, -2.2, -2.8, -2.9000000000000004, -3.1, -4.800000000000001, -4.300000000000001, -5.0, -5.1, -5.199999999999999, -6.800000000000001]"
